/* DATA DESCRIPTION:
Citation:	Hammer, C U; Dahl-Jensen, Dorthe (1999): GRIP Accumulation Rates [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55084
Related to:	Dahl-Jensen, Dorthe; Johnsen, Sigfús Jóhann; Hammer, C U; Clausen, Henrik Brink; Jouzel, Jean (1993): Past accumulation rates derived from observed annual layers in the GRIP ice core from Summit, central Greenland. In: Peltier, W R (ed.), Ice in the Climate System,Springer-Verlag, Berlin-Heidelberg, Germany, 517-532
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Hammer, C U; Andersen, Katrine K; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Hvidberg, Christine Schøtt; Iversen, P (1997): The stratigraphic dating of the GRIP ice core. Special Report of the Geophysical Department, Niels Bohr Institute for Astronomy physics and Geophysics, University of Copenhagen
	Johnsen, Sigfús Jóhann; Dahl-Jensen, Dorthe; Dansgaard, W; Gundestrup, Niels S (1995): Greenland palaeotemperatures derived from GRIP bore hole temperature and ice core isotope profiles. Tellus Series B-Chemical and Physical Meteorology, 47(5), 624-629, https://doi.org/10.1034/j.1600-0889.47.issue5.9.x
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.570000 * LONGITUDE: -37.620000
	DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 2983.20 m
Event(s):	GRIP * LATITUDE: 72.570000 * LONGITUDE: -37.620000 * DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00 * ELEVATION: 3232.0 m * Penetration: 3028.8 m * Recovery: 3028.8 m * LOCATION: Greenland * CAMPAIGN: GRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: ISTUK electromechanical drill (ISTUK) (URI: https://icedrill.org/library/new-improved-version-istuk-ice-core-drill)
Comment:	Depth at the top of the sample
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate per year [g/cm**2/a] (Acc rate) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk) * METHOD/DEVICE: Calculated * COMMENT: based on d18O
	Layer thickness [m] (Thickness) * PI: Dahl-Jensen, Dorthe (https://orcid.org/0000-0002-1474-1948, qbk693@ku.dk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10850 data points
*/
Depth ice/snow [m]	Age [ka BP]	Acc rate [g/cm**2/a]	Thickness [m]
334.40	1.40180	0.246	0.21392
334.95	1.40430	0.234	0.20335
335.50	1.40700	0.249	0.21615
336.05	1.40960	0.245	0.21246
336.60	1.41220	0.236	0.20500
337.15	1.41490	0.209	0.18142
337.70	1.41790	0.229	0.19838
338.25	1.42070	0.244	0.21184
338.80	1.42330	0.222	0.19246
339.35	1.42610	0.209	0.18085
339.90	1.42920	0.233	0.20148
340.45	1.43190	0.238	0.20622
341.00	1.43460	0.207	0.17922
341.55	1.43760	0.225	0.19489
342.10	1.44040	0.233	0.20110
342.65	1.44320	0.222	0.19227
343.20	1.44600	0.203	0.17509
343.75	1.44920	0.233	0.20140
344.30	1.45190	0.206	0.17763
344.85	1.45500	0.234	0.20221
345.40	1.45770	0.221	0.19082
345.95	1.46060	0.239	0.20609
346.50	1.46330	0.236	0.20340
347.05	1.46600	0.221	0.19049
347.60	1.46890	0.226	0.19514
348.15	1.47170	0.220	0.18970
348.70	1.47460	0.212	0.18239
349.25	1.47760	0.234	0.20178
349.80	1.48030	0.194	0.16686
350.35	1.48360	0.229	0.19762
350.90	1.48640	0.216	0.18630
351.45	1.48940	0.233	0.20080
352.00	1.49210	0.240	0.20619
352.55	1.49480	0.244	0.20996
353.10	1.49740	0.246	0.21183
353.65	1.50000	0.234	0.20164
354.20	1.50270	0.189	0.16240
354.75	1.50610	0.232	0.19939
355.30	1.50880	0.223	0.19191
355.85	1.51170	0.260	0.22296
356.40	1.51420	0.235	0.20182
356.95	1.51690	0.253	0.21726
357.50	1.51940	0.232	0.19927
358.05	1.52220	0.230	0.19766
358.60	1.52500	0.240	0.20608
359.15	1.52760	0.211	0.18055
359.70	1.53070	0.219	0.18810
360.25	1.53360	0.239	0.20464
360.80	1.53630	0.229	0.19660
361.35	1.53910	0.258	0.22090
361.90	1.54160	0.236	0.20186
362.45	1.54430	0.241	0.20638
363.00	1.54700	0.212	0.18164
363.55	1.55000	0.246	0.21010
364.10	1.55260	0.241	0.20648
364.65	1.55530	0.245	0.20948
365.20	1.55790	0.249	0.21264
365.75	1.56050	0.242	0.20712
366.30	1.56320	0.229	0.19591
366.85	1.56600	0.219	0.18726
367.40	1.56890	0.222	0.18976
367.95	1.57180	0.252	0.21477
368.50	1.57440	0.242	0.20671
369.05	1.57700	0.261	0.22253
369.60	1.57950	0.252	0.21492
370.15	1.58200	0.246	0.20992
370.70	1.58470	0.241	0.20567
371.25	1.58730	0.248	0.21177
371.80	1.58990	0.231	0.19724
372.35	1.59270	0.234	0.19977
372.90	1.59550	0.238	0.20293
373.45	1.59820	0.237	0.20158
374.00	1.60090	0.228	0.19420
374.55	1.60370	0.231	0.19666
375.10	1.60650	0.235	0.19980
375.65	1.60930	0.225	0.19179
376.20	1.61220	0.234	0.19939
376.75	1.61490	0.210	0.17825
377.30	1.61800	0.213	0.18106
377.85	1.62100	0.250	0.21270
378.40	1.62360	0.232	0.19736
378.95	1.62640	0.230	0.19530
379.50	1.62920	0.231	0.19648
380.05	1.63200	0.237	0.20091
380.60	1.63480	0.233	0.19745
381.15	1.63760	0.247	0.20976
381.70	1.64020	0.210	0.17781
382.25	1.64330	0.199	0.16855
382.80	1.64650	0.240	0.20319
383.35	1.64920	0.225	0.19105
383.90	1.65210	0.234	0.19862
384.45	1.65490	0.233	0.19706
385.00	1.65770	0.221	0.18743
385.55	1.66060	0.259	0.21927
386.10	1.66310	0.241	0.20368
386.65	1.66580	0.213	0.18057
387.20	1.66890	0.222	0.18755
387.75	1.67180	0.218	0.18395
388.30	1.67480	0.229	0.19360
388.85	1.67760	0.236	0.19945
389.40	1.68040	0.243	0.20548
389.95	1.68310	0.243	0.20555
390.50	1.68570	0.237	0.19972
391.05	1.68850	0.230	0.19380
391.60	1.69130	0.233	0.19651
392.15	1.69410	0.236	0.19882
392.70	1.69690	0.234	0.19774
393.25	1.69970	0.237	0.20016
393.80	1.70240	0.251	0.21178
394.35	1.70500	0.215	0.18092
394.90	1.70810	0.245	0.20670
395.45	1.71070	0.251	0.21105
396.00	1.71330	0.222	0.18722
396.55	1.71630	0.236	0.19853
397.10	1.71900	0.214	0.18014
397.65	1.72210	0.228	0.19159
398.20	1.72500	0.230	0.19357
398.75	1.72780	0.238	0.20031
399.30	1.73050	0.216	0.18185
399.85	1.73360	0.218	0.18300
400.40	1.73660	0.224	0.18844
400.95	1.73950	0.239	0.20050
401.50	1.74220	0.206	0.17317
402.05	1.74540	0.221	0.18565
402.60	1.74840	0.230	0.19298
403.15	1.75120	0.208	0.17428
403.70	1.75440	0.225	0.18909
404.25	1.75730	0.250	0.21000
404.80	1.75990	0.240	0.20135
405.35	1.76260	0.248	0.20780
405.90	1.76530	0.243	0.20325
406.45	1.76800	0.229	0.19183
407.00	1.77080	0.235	0.19646
407.55	1.77360	0.236	0.19757
408.10	1.77640	0.224	0.18738
408.65	1.77940	0.234	0.19600
409.20	1.78220	0.220	0.18398
409.75	1.78520	0.225	0.18835
410.30	1.78810	0.230	0.19208
410.85	1.79090	0.228	0.19062
411.40	1.79380	0.211	0.17640
411.95	1.79690	0.207	0.17315
412.50	1.80010	0.228	0.19062
413.05	1.80300	0.239	0.19941
413.60	1.80580	0.227	0.18942
414.15	1.80870	0.237	0.19790
414.70	1.81140	0.222	0.18545
415.25	1.81440	0.259	0.21566
415.80	1.81700	0.236	0.19645
416.35	1.81980	0.226	0.18836
416.90	1.82270	0.238	0.19861
417.45	1.82540	0.231	0.19260
418.00	1.82830	0.237	0.19709
418.55	1.83110	0.239	0.19885
419.10	1.83390	0.232	0.19304
419.65	1.83670	0.237	0.19749
420.20	1.83950	0.218	0.18111
420.75	1.84250	0.224	0.18601
421.30	1.84550	0.244	0.20243
421.85	1.84820	0.236	0.19584
422.40	1.85100	0.230	0.19089
422.95	1.85390	0.241	0.19977
423.50	1.85660	0.234	0.19394
424.05	1.85950	0.243	0.20202
424.60	1.86220	0.247	0.20494
425.15	1.86490	0.220	0.18265
425.70	1.86790	0.242	0.20094
426.25	1.87060	0.232	0.19203
426.80	1.87350	0.236	0.19520
427.35	1.87630	0.237	0.19600
427.90	1.87910	0.242	0.20058
428.45	1.88190	0.243	0.20156
429.00	1.88460	0.240	0.19874
429.55	1.88740	0.241	0.19949
430.10	1.89010	0.240	0.19877
430.65	1.89290	0.235	0.19453
431.20	1.89570	0.242	0.20024
431.75	1.89850	0.245	0.20223
432.30	1.90120	0.249	0.20588
432.85	1.90380	0.254	0.21009
433.40	1.90650	0.230	0.18982
433.95	1.90940	0.248	0.20514
434.50	1.91200	0.237	0.19571
435.05	1.91480	0.237	0.19579
435.60	1.91770	0.220	0.18118
436.15	1.92070	0.233	0.19224
436.70	1.92360	0.248	0.20484
437.25	1.92620	0.241	0.19883
437.80	1.92900	0.260	0.21407
438.35	1.93160	0.252	0.20734
438.90	1.93420	0.239	0.19719
439.45	1.93700	0.226	0.18629
440.00	1.94000	0.220	0.18093
440.55	1.94300	0.231	0.19047
441.10	1.94590	0.236	0.19448
441.65	1.94870	0.239	0.19664
442.20	1.95150	0.222	0.18236
442.75	1.95450	0.253	0.20812
443.30	1.95720	0.222	0.18242
443.85	1.96020	0.232	0.19029
444.40	1.96310	0.223	0.18328
444.95	1.96610	0.238	0.19535
445.50	1.96890	0.231	0.18938
446.05	1.97180	0.214	0.17585
446.60	1.97490	0.244	0.20019
447.15	1.97770	0.242	0.19821
447.70	1.98040	0.254	0.20828
448.25	1.98310	0.233	0.19060
448.80	1.98600	0.230	0.18861
449.35	1.98890	0.236	0.19309
449.90	1.99170	0.237	0.19373
450.45	1.99460	0.232	0.19009
451.00	1.99750	0.242	0.19794
451.55	2.00020	0.246	0.20139
452.10	2.00300	0.247	0.20217
452.65	2.00570	0.247	0.20235
453.20	2.00840	0.244	0.19938
453.75	2.01120	0.228	0.18646
454.30	2.01410	0.237	0.19371
454.85	2.01700	0.230	0.18757
455.40	2.01990	0.188	0.15314
455.95	2.02350	0.232	0.18940
456.50	2.02640	0.209	0.17061
457.05	2.02960	0.228	0.18583
457.60	2.03260	0.247	0.20147
458.15	2.03530	0.251	0.20479
458.70	2.03800	0.219	0.17820
459.25	2.04110	0.203	0.16544
459.80	2.04440	0.218	0.17744
460.35	2.04750	0.217	0.17689
460.90	2.05060	0.240	0.19508
461.45	2.05340	0.243	0.19776
462.00	2.05620	0.256	0.20835
462.55	2.05880	0.231	0.18830
463.10	2.06180	0.233	0.18913
463.65	2.06470	0.220	0.17872
464.20	2.06770	0.233	0.18960
464.75	2.07060	0.241	0.19588
465.30	2.07350	0.231	0.18759
465.85	2.07640	0.244	0.19856
466.40	2.07920	0.250	0.20271
466.95	2.08190	0.251	0.20396
467.50	2.08460	0.230	0.18678
468.05	2.08750	0.228	0.18476
468.60	2.09050	0.217	0.17613
469.15	2.09360	0.212	0.17172
469.70	2.09680	0.228	0.18491
470.25	2.09980	0.238	0.19319
470.80	2.10260	0.226	0.18312
471.35	2.10560	0.240	0.19442
471.90	2.10850	0.224	0.18146
472.45	2.11150	0.240	0.19430
473.00	2.11430	0.233	0.18887
473.55	2.11720	0.239	0.19313
474.10	2.12010	0.239	0.19320
474.65	2.12290	0.227	0.18367
475.20	2.12590	0.230	0.18588
475.75	2.12890	0.252	0.20395
476.30	2.13160	0.218	0.17607
476.85	2.13470	0.243	0.19630
477.40	2.13750	0.239	0.19273
477.95	2.14040	0.239	0.19268
478.50	2.14320	0.239	0.19249
479.05	2.14610	0.244	0.19718
479.60	2.14890	0.224	0.18041
480.15	2.15190	0.229	0.18480
480.70	2.15490	0.229	0.18459
481.25	2.15790	0.244	0.19659
481.80	2.16070	0.210	0.16905
482.35	2.16390	0.224	0.18015
482.90	2.16700	0.236	0.18972
483.45	2.16990	0.234	0.18797
484.00	2.17280	0.233	0.18720
484.55	2.17570	0.214	0.17217
485.10	2.17890	0.223	0.17894
485.65	2.18200	0.214	0.17224
486.20	2.18520	0.233	0.18727
486.75	2.18810	0.218	0.17543
487.30	2.19130	0.253	0.20351
487.85	2.19400	0.233	0.18739
488.40	2.19690	0.235	0.18861
488.95	2.19980	0.249	0.19977
489.50	2.20260	0.238	0.19084
490.05	2.20540	0.240	0.19264
490.60	2.20830	0.202	0.16203
491.15	2.21170	0.243	0.19482
491.70	2.21450	0.262	0.20988
492.25	2.21710	0.255	0.20442
492.80	2.21980	0.252	0.20212
493.35	2.22250	0.225	0.18018
493.90	2.22560	0.237	0.18944
494.45	2.22850	0.216	0.17308
495.00	2.23170	0.259	0.20720
495.55	2.23430	0.237	0.18955
496.10	2.23720	0.236	0.18826
496.65	2.24010	0.233	0.18595
497.20	2.24310	0.257	0.20565
497.75	2.24580	0.243	0.19376
498.30	2.24860	0.242	0.19333
498.85	2.25150	0.235	0.18770
499.40	2.25440	0.238	0.19010
499.95	2.25730	0.237	0.18937
500.50	2.26020	0.238	0.18999
501.05	2.26310	0.244	0.19465
501.60	2.26590	0.233	0.18546
502.15	2.26890	0.241	0.19204
502.70	2.27170	0.226	0.17990
503.25	2.27480	0.235	0.18712
503.80	2.27770	0.207	0.16453
504.35	2.28110	0.244	0.19382
504.90	2.28390	0.249	0.19808
505.45	2.28670	0.226	0.17994
506.00	2.28970	0.223	0.17727
506.55	2.29280	0.238	0.18911
507.10	2.29580	0.231	0.18390
507.65	2.29870	0.222	0.17634
508.20	2.30190	0.215	0.17051
508.75	2.30510	0.233	0.18504
509.30	2.30810	0.220	0.17429
509.85	2.31120	0.229	0.18131
510.40	2.31430	0.233	0.18515
510.95	2.31720	0.249	0.19744
511.50	2.32000	0.254	0.20167
512.05	2.32270	0.238	0.18842
512.60	2.32570	0.225	0.17788
513.15	2.32870	0.246	0.19482
513.70	2.33160	0.240	0.18996
514.25	2.33450	0.217	0.17142
514.80	2.33770	0.219	0.17298
515.35	2.34080	0.233	0.18438
515.90	2.34380	0.251	0.19841
516.45	2.34660	0.241	0.19083
517.00	2.34950	0.251	0.19850
517.55	2.35230	0.260	0.20569
518.10	2.35490	0.263	0.20797
518.65	2.35760	0.236	0.18668
519.20	2.36050	0.233	0.18428
519.75	2.36350	0.211	0.16682
520.30	2.36680	0.224	0.17653
520.85	2.36990	0.229	0.18068
521.40	2.37300	0.245	0.19349
521.95	2.37580	0.248	0.19538
522.50	2.37860	0.248	0.19566
523.05	2.38140	0.244	0.19212
523.60	2.38430	0.250	0.19653
524.15	2.38710	0.252	0.19835
524.70	2.38990	0.231	0.18175
525.25	2.39290	0.198	0.15574
525.80	2.39640	0.239	0.18782
526.35	2.39930	0.237	0.18630
526.90	2.40230	0.236	0.18517
527.45	2.40530	0.207	0.16245
528.00	2.40860	0.250	0.19680
528.55	2.41140	0.241	0.18946
529.10	2.41430	0.221	0.17369
529.65	2.41750	0.246	0.19274
530.20	2.42040	0.233	0.18305
530.75	2.42340	0.253	0.19834
531.30	2.42610	0.207	0.16228
531.85	2.42950	0.236	0.18494
532.40	2.43250	0.248	0.19406
532.95	2.43530	0.229	0.17950
533.50	2.43840	0.224	0.17528
534.05	2.44150	0.243	0.19001
534.60	2.44440	0.246	0.19269
535.15	2.44730	0.247	0.19309
535.70	2.45010	0.238	0.18629
536.25	2.45310	0.240	0.18804
536.80	2.45600	0.250	0.19544
537.35	2.45880	0.220	0.17182
537.90	2.46200	0.244	0.19046
538.45	2.46490	0.235	0.18360
539.00	2.46790	0.232	0.18148
539.55	2.47090	0.221	0.17240
540.10	2.47410	0.223	0.17419
540.65	2.47730	0.223	0.17398
541.20	2.48040	0.252	0.19652
541.75	2.48320	0.248	0.19363
542.30	2.48610	0.251	0.19549
542.85	2.48890	0.248	0.19340
543.40	2.49170	0.251	0.19526
543.95	2.49460	0.250	0.19468
544.50	2.49740	0.244	0.19014
545.05	2.50030	0.253	0.19700
545.60	2.50310	0.250	0.19419
546.15	2.50590	0.241	0.18728
546.70	2.50880	0.254	0.19730
547.25	2.51160	0.244	0.18949
547.80	2.51450	0.241	0.18698
548.35	2.51750	0.238	0.18461
548.90	2.52040	0.250	0.19447
549.45	2.52330	0.244	0.18986
550.00	2.52620	0.256	0.19885
550.55	2.52890	0.226	0.17574
551.10	2.53210	0.254	0.19710
551.65	2.53480	0.240	0.18621
552.20	2.53780	0.206	0.15960
552.75	2.54120	0.206	0.16005
553.30	2.54470	0.247	0.19174
553.85	2.54760	0.240	0.18586
554.40	2.55050	0.250	0.19326
554.95	2.55340	0.224	0.17353
555.50	2.55650	0.222	0.17197
556.05	2.55970	0.249	0.19298
556.60	2.56260	0.230	0.17819
557.15	2.56570	0.242	0.18738
557.70	2.56860	0.238	0.18419
558.25	2.57160	0.237	0.18335
558.80	2.57460	0.231	0.17868
559.35	2.57770	0.257	0.19834
559.90	2.58040	0.237	0.18305
560.45	2.58340	0.239	0.18468
561.00	2.58640	0.252	0.19420
561.55	2.58920	0.234	0.18075
562.10	2.59230	0.219	0.16904
562.65	2.59550	0.244	0.18801
563.20	2.59850	0.243	0.18736
563.75	2.60140	0.236	0.18174
564.30	2.60440	0.238	0.18326
564.85	2.60740	0.205	0.15749
565.40	2.61090	0.253	0.19480
565.95	2.61370	0.257	0.19787
566.50	2.61650	0.239	0.18419
567.05	2.61950	0.205	0.15730
567.60	2.62300	0.242	0.18606
568.15	2.62600	0.242	0.18601
568.70	2.62890	0.247	0.19001
569.25	2.63180	0.246	0.18906
569.80	2.63470	0.223	0.17122
570.35	2.63790	0.235	0.18055
570.90	2.64100	0.221	0.16975
571.45	2.64420	0.240	0.18394
572.00	2.64720	0.222	0.17056
572.55	2.65040	0.242	0.18543
573.10	2.65340	0.230	0.17615
573.65	2.65650	0.247	0.18927
574.20	2.65940	0.250	0.19167
574.75	2.66230	0.240	0.18385
575.30	2.66530	0.233	0.17830
575.85	2.66840	0.230	0.17588
576.40	2.67150	0.231	0.17709
576.95	2.67460	0.250	0.19128
577.50	2.67750	0.242	0.18468
578.05	2.68040	0.243	0.18547
578.60	2.68340	0.235	0.17932
579.15	2.68650	0.244	0.18654
579.70	2.68940	0.209	0.15932
580.25	2.69290	0.228	0.17417
580.80	2.69600	0.252	0.19218
581.35	2.69890	0.248	0.18890
581.90	2.70180	0.229	0.17430
582.45	2.70500	0.259	0.19741
583.00	2.70770	0.216	0.16493
583.55	2.71110	0.205	0.15619
584.10	2.71460	0.241	0.18363
584.65	2.71760	0.238	0.18145
585.20	2.72060	0.244	0.18614
585.75	2.72360	0.230	0.17505
586.30	2.72670	0.242	0.18426
586.85	2.72970	0.224	0.17019
587.40	2.73290	0.253	0.19205
587.95	2.73580	0.235	0.17892
588.50	2.73890	0.230	0.17506
589.05	2.74200	0.207	0.15752
589.60	2.74550	0.225	0.17052
590.15	2.74870	0.242	0.18362
590.70	2.75170	0.229	0.17387
591.25	2.75490	0.211	0.15975
591.80	2.75830	0.244	0.18545
592.35	2.76130	0.250	0.18964
592.90	2.76420	0.230	0.17407
593.45	2.76740	0.239	0.18107
594.00	2.77040	0.246	0.18658
594.55	2.77330	0.231	0.17530
595.10	2.77650	0.233	0.17660
595.65	2.77960	0.240	0.18134
596.20	2.78260	0.231	0.17514
596.75	2.78580	0.231	0.17494
597.30	2.78890	0.255	0.19300
597.85	2.79180	0.244	0.18436
598.40	2.79470	0.241	0.18241
598.95	2.79780	0.256	0.19343
599.50	2.80060	0.208	0.15708
600.05	2.80410	0.251	0.18922
600.60	2.80700	0.241	0.18182
601.15	2.81000	0.228	0.17228
601.70	2.81320	0.248	0.18708
602.25	2.81620	0.254	0.19166
602.80	2.81900	0.237	0.17885
603.35	2.82210	0.239	0.17981
603.90	2.82520	0.225	0.16944
604.45	2.82840	0.246	0.18548
605.00	2.83140	0.219	0.16459
605.55	2.83470	0.225	0.16900
606.10	2.83800	0.241	0.18150
606.65	2.84100	0.237	0.17846
607.20	2.84410	0.231	0.17392
607.75	2.84720	0.232	0.17413
608.30	2.85040	0.215	0.16183
608.85	2.85380	0.237	0.17837
609.40	2.85690	0.229	0.17162
609.95	2.86010	0.211	0.15855
610.50	2.86360	0.246	0.18430
611.05	2.86650	0.250	0.18754
611.60	2.86950	0.248	0.18571
612.15	2.87240	0.245	0.18367
612.70	2.87540	0.225	0.16875
613.25	2.87870	0.243	0.18242
613.80	2.88170	0.230	0.17217
614.35	2.88490	0.242	0.18125
614.90	2.88790	0.209	0.15668
615.45	2.89140	0.217	0.16270
616.00	2.89480	0.222	0.16595
616.55	2.89810	0.242	0.18137
617.10	2.90120	0.230	0.17198
617.65	2.90440	0.228	0.17068
618.20	2.90760	0.235	0.17550
618.75	2.91070	0.243	0.18184
619.30	2.91370	0.240	0.17917
619.85	2.91680	0.241	0.17960
620.40	2.91990	0.249	0.18563
620.95	2.92280	0.241	0.17961
621.50	2.92590	0.241	0.17980
622.05	2.92900	0.234	0.17419
622.60	2.93210	0.239	0.17798
623.15	2.93520	0.254	0.18949
623.70	2.93810	0.246	0.18336
624.25	2.94110	0.254	0.18883
624.80	2.94400	0.233	0.17326
625.35	2.94720	0.241	0.17916
625.90	2.95030	0.248	0.18473
626.45	2.95320	0.232	0.17283
627.00	2.95640	0.223	0.16550
627.55	2.95970	0.244	0.18173
628.10	2.96280	0.232	0.17240
628.65	2.96600	0.259	0.19261
629.20	2.96880	0.233	0.17322
629.75	2.97200	0.236	0.17511
630.30	2.97510	0.241	0.17889
630.85	2.97820	0.245	0.18161
631.40	2.98120	0.245	0.18156
631.95	2.98430	0.217	0.16118
632.50	2.98770	0.247	0.18330
633.05	2.99070	0.243	0.18013
633.60	2.99370	0.229	0.16968
634.15	2.99700	0.220	0.16321
634.70	3.00030	0.236	0.17474
635.25	3.00350	0.228	0.16897
635.80	3.00670	0.242	0.17927
636.35	3.00980	0.215	0.15865
636.90	3.01330	0.227	0.16798
637.45	3.01650	0.252	0.18601
638.00	3.01950	0.216	0.15971
638.55	3.02290	0.223	0.16440
639.10	3.02630	0.232	0.17104
639.65	3.02950	0.253	0.18699
640.20	3.03240	0.240	0.17728
640.75	3.03550	0.245	0.18091
641.30	3.03860	0.242	0.17835
641.85	3.04170	0.253	0.18648
642.40	3.04460	0.205	0.15138
642.95	3.04820	0.226	0.16627
643.50	3.05160	0.226	0.16650
644.05	3.05490	0.215	0.15794
644.60	3.05830	0.240	0.17635
645.15	3.06150	0.257	0.18912
645.70	3.06440	0.247	0.18180
646.25	3.06740	0.215	0.15789
646.80	3.07090	0.231	0.17015
647.35	3.07410	0.250	0.18398
647.90	3.07710	0.243	0.17882
648.45	3.08020	0.229	0.16782
649.00	3.08340	0.252	0.18477
649.55	3.08640	0.242	0.17785
650.10	3.08950	0.249	0.18238
650.65	3.09250	0.208	0.15287
651.20	3.09610	0.210	0.15422
651.75	3.09970	0.244	0.17921
652.30	3.10280	0.232	0.16987
652.85	3.10600	0.234	0.17139
653.40	3.10920	0.238	0.17399
653.95	3.11240	0.232	0.16997
654.50	3.11560	0.233	0.17084
655.05	3.11880	0.227	0.16622
655.60	3.12210	0.220	0.16061
656.15	3.12560	0.230	0.16830
656.70	3.12880	0.239	0.17439
657.25	3.13200	0.228	0.16656
657.80	3.13530	0.226	0.16526
658.35	3.13860	0.231	0.16848
658.90	3.14190	0.222	0.16233
659.45	3.14530	0.223	0.16257
660.00	3.14860	0.242	0.17631
660.55	3.15180	0.245	0.17852
661.10	3.15480	0.252	0.18385
661.65	3.15780	0.257	0.18708
662.20	3.16080	0.252	0.18336
662.75	3.16380	0.254	0.18476
663.30	3.16670	0.230	0.16746
663.85	3.17000	0.235	0.17119
664.40	3.17320	0.239	0.17421
664.95	3.17640	0.240	0.17463
665.50	3.17950	0.223	0.16242
666.05	3.18290	0.219	0.15934
666.60	3.18640	0.240	0.17458
667.15	3.18950	0.240	0.17429
667.70	3.19270	0.243	0.17644
668.25	3.19580	0.220	0.15987
668.80	3.19920	0.233	0.16942
669.35	3.20250	0.222	0.16092
669.90	3.20590	0.226	0.16396
670.45	3.20930	0.216	0.15643
671.00	3.21280	0.251	0.18165
671.55	3.21580	0.220	0.15941
672.10	3.21930	0.249	0.18026
672.65	3.22230	0.239	0.17301
673.20	3.22550	0.247	0.17901
673.75	3.22860	0.257	0.18584
674.30	3.23150	0.223	0.16158
674.85	3.23490	0.248	0.17966
675.40	3.23800	0.242	0.17507
675.95	3.24110	0.231	0.16662
676.50	3.24440	0.247	0.17856
677.05	3.24750	0.253	0.18286
677.60	3.25050	0.230	0.16632
678.15	3.25380	0.236	0.17050
678.70	3.25700	0.249	0.17966
679.25	3.26010	0.237	0.17101
679.80	3.26330	0.245	0.17673
680.35	3.26640	0.254	0.18278
680.90	3.26940	0.247	0.17778
681.45	3.27250	0.249	0.17966
682.00	3.27560	0.231	0.16603
682.55	3.27890	0.258	0.18578
683.10	3.28190	0.247	0.17766
683.65	3.28500	0.235	0.16908
684.20	3.28820	0.238	0.17124
684.75	3.29140	0.241	0.17354
685.30	3.29460	0.245	0.17594
685.85	3.29770	0.253	0.18209
686.40	3.30070	0.249	0.17864
686.95	3.30380	0.240	0.17262
687.50	3.30700	0.241	0.17268
688.05	3.31020	0.256	0.18396
688.60	3.31320	0.263	0.18870
689.15	3.31610	0.242	0.17354
689.70	3.31930	0.250	0.17898
690.25	3.32230	0.232	0.16639
690.80	3.32560	0.237	0.16984
691.35	3.32890	0.234	0.16781
691.90	3.33210	0.227	0.16239
692.45	3.33550	0.245	0.17508
693.00	3.33870	0.230	0.16429
693.55	3.34200	0.240	0.17148
694.10	3.34520	0.256	0.18314
694.65	3.34820	0.229	0.16373
695.20	3.35160	0.245	0.17480
695.75	3.35470	0.233	0.16661
696.30	3.35800	0.255	0.18225
696.85	3.36110	0.258	0.18422
697.40	3.36400	0.228	0.16253
697.95	3.36740	0.243	0.17331
698.50	3.37060	0.224	0.15998
699.05	3.37400	0.236	0.16803
699.60	3.37730	0.229	0.16298
700.15	3.38070	0.228	0.16266
700.70	3.38410	0.238	0.16968
701.25	3.38730	0.224	0.15930
701.80	3.39080	0.242	0.17212
702.35	3.39390	0.239	0.17023
702.90	3.39720	0.249	0.17689
703.45	3.40030	0.241	0.17127
704.00	3.40350	0.224	0.15890
704.55	3.40700	0.235	0.16711
705.10	3.41020	0.246	0.17441
705.65	3.41340	0.237	0.16834
706.20	3.41670	0.242	0.17178
706.75	3.41990	0.247	0.17497
707.30	3.42300	0.244	0.17311
707.85	3.42620	0.199	0.14083
708.40	3.43010	0.241	0.17088
708.95	3.43330	0.233	0.16530
709.50	3.43660	0.221	0.15628
710.05	3.44020	0.243	0.17206
710.60	3.44340	0.240	0.17008
711.15	3.44660	0.216	0.15255
711.70	3.45020	0.239	0.16927
712.25	3.45340	0.246	0.17429
712.80	3.45660	0.214	0.15152
713.35	3.46020	0.234	0.16561
713.90	3.46350	0.236	0.16654
714.45	3.46680	0.240	0.16934
715.00	3.47010	0.230	0.16240
715.55	3.47350	0.231	0.16325
