/* DATA DESCRIPTION:
Citation:	Wolff, Eric William (1999): GRIP Dielectric Profiling (DEP) and Electrical Conductivity (ECM) averaged data [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55092
Related to:	Clausen, Henrik Brink; Hammer, C U; Christensen, John P; Hvidberg, Christine Schøtt; Dahl-Jensen, Dorthe; Legrand, Michel R; Steffensen, Jørgen Peder (1995): 1250 years of global volcanism as revealed by central Greenland ice cores. In: Delmas, R (ed.), Ice Core Studies of Global Biogeochemical cycles, Annecy, France, NATO Advanced Sciences Institutes Series 1, 30, 175-194
	GRIP Members (1993): Climate instability during the last interglacial period recorded in the GRIP ice core. Nature, 364(6434), 203-207, https://doi.org/10.1038/364203a0
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Moore, J Casey; Mulvaney, Robert; Paren, J G (1989): Dielectric stratigraphy of ice: a new technique for determining total ionic concentrations in polar ice cores. Geophysical Research Letters, 16, 1177-1180, https://doi.org/10.1029/GL016i010p01177
	Moore, J Casey; Paren, J G (1987): A new technique for dielectric logging of Antarctic ice cores. Journal de Physique, 48C, 155-160, https://doi.org/10.1051/jphyscol:1987123
	Moore, J Casey; Wolff, Eric William; Clausen, Henrik Brink; Hammer, C U; Legrand, Michel R; Fuhrer, Katrin (1994): Electrical response of the Summit-Greenland ice core to ammonium, sulphuric acid, and hydrochloric acid. Geophysical Research Letters, 21(7), 565-568, https://doi.org/10.1029/94GL00542
	Taylor, Kendrick C; Hammer, C U; Alley, Richard B; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Gow, A J; Gundestrup, Niels S; Kipfstuhl, Sepp; Moore, J Casey; Waddington, Edwin D (1993): Electrical conductivity measurements from the GISP2 and GRIP Greenland ice cores. Nature, 366(6455), 549-552, https://doi.org/10.1038/366549a0
	Wolff, Eric William; Moore, J Casey; Clausen, Henrik Brink; Hammer, C U (1997): Climatic implications of background acidity and other chemistry derived from electrical studies of the Greenland Ice Core Project ice core. Journal of Geophysical Research: Oceans, 102(C12), 26325-26332, https://doi.org/10.1029/96JC02223
	Wolff, Eric William; Moore, J Casey; Clausen, Henrik Brink; Hammer, C U; Kipfstuhl, Sepp; Fuhrer, Katrin (1995): Long-term changes in the acid and salt concentrations of the Greenland Ice Core Project ice core from electrical stratigraphy. Journal of Geophysical Research: Atmospheres, 100(D8), 16249-16264, https://doi.org/10.1029/95JD01174
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.570000 * LONGITUDE: -37.620000
	DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00
	MINIMUM DEPTH, ice/snow: 138.05 m * MAXIMUM DEPTH, ice/snow: 3021.70 m
Event(s):	GRIP * LATITUDE: 72.570000 * LONGITUDE: -37.620000 * DATE/TIME START: 1989-06-01T00:00:00 * DATE/TIME END: 1992-07-12T00:00:00 * ELEVATION: 3232.0 m * Penetration: 3028.8 m * Recovery: 3028.8 m * LOCATION: Greenland * CAMPAIGN: GRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: ISTUK electromechanical drill (ISTUK) (URI: https://icedrill.org/library/new-improved-version-istuk-ice-core-drill)
Comment:	Each data point is an average over a 55 cm interval; data are correted, level changes between 730 and 930 m are believed to be spurious (Wolff, et al., 1995) due to poor temperature correction.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Conductivity, specific [µS/m] (Cond) * PI: Wolff, Eric William (https://orcid.org/0000-0002-5914-8531, ew428@cam.ac.uk) * METHOD/DEVICE: Calculated average/mean values
	Conductivity, electrical, ice (Cond electr) * PI: Wolff, Eric William (https://orcid.org/0000-0002-5914-8531, ew428@cam.ac.uk) * METHOD/DEVICE: Calculated average/mean values * COMMENT: calculated as H+ = 0.03 x I**2; unit=micromol of H+ per kg
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	10346 data points
*/
Depth ice/snow [m]	Age [ka BP]	Cond [µS/m]	Cond electr
468.05	2.088	19.611	1.530
468.60	2.091	18.102	1.653
471.35	2.106	19.130	1.437
471.90	2.109	19.629	1.377
472.45	2.112	19.781	1.747
473.00	2.114	18.982	1.455
473.55	2.117	21.181	2.191
474.10	2.120	25.415	2.910
474.65	2.123	23.101	1.970
475.20	2.126	19.476	1.739
475.75	2.129	21.163	2.126
476.30	2.132	19.257	1.184
476.85	2.135	20.792	0.847
477.40	2.138	22.357	1.138
477.95	2.140	17.464	1.018
478.50	2.143	20.394	1.719
479.05	2.146	22.425	1.548
479.60	2.149	17.941	0.992
480.15	2.152	16.667	0.654
480.70	2.155	15.754	0.634
481.25	2.158	19.743	0.815
481.80	2.161	16.428	0.398
482.35	2.164	21.589	0.929
482.90	2.167	17.800	0.720
483.45	2.170	17.339	0.858
484.00	2.173	18.699	1.224
484.55	2.176	19.020	1.306
485.10	2.179	18.124	1.092
485.65	2.182	18.922	1.270
486.20	2.185	22.474	1.297
486.75	2.188	20.226	0.910
487.30	2.191	19.756	1.070
487.85	2.194	19.720	1.141
488.40	2.197	19.276	0.934
488.95	2.200	20.038	1.189
489.50	2.203	19.703	0.949
490.05	2.205	20.814	0.936
490.60	2.208	18.723	0.695
491.15	2.212	20.260	0.800
491.70	2.215	19.986	0.987
492.25	2.217	19.878	1.148
492.80	2.220	33.484	5.022
493.35	2.223	22.612	1.250
493.90	2.226	19.058	0.804
494.45	2.229	20.760	1.360
495.00	2.232	20.454	1.003
495.55	2.234	19.089	0.651
496.10	2.237	20.822	0.813
496.65	2.240	18.946	0.770
497.20	2.243	19.715	0.711
497.75	2.246	18.668	0.809
498.30	2.249	19.782	0.766
498.85	2.252	19.352	1.169
499.40	2.254	20.585	1.280
499.95	2.257	21.118	1.100
500.50	2.260	20.002	0.898
501.05	2.263	21.195	1.188
501.60	2.266	19.788	1.005
502.15	2.269	18.953	1.368
502.70	2.272	20.130	1.475
503.25	2.275	20.496	1.360
503.80	2.278	19.292	0.731
504.35	2.281	18.862	0.825
504.90	2.284	18.675	1.005
505.45	2.287	20.137	0.768
506.00	2.290	19.823	0.934
506.55	2.293	19.006	0.745
507.10	2.296	19.381	0.959
507.65	2.299	20.549	0.641
508.20	2.302	18.922	0.521
508.75	2.305	20.029	0.837
509.30	2.308	19.042	0.752
509.85	2.311	18.718	1.082
510.40	2.314	19.189	0.752
510.95	2.317	19.000	0.960
511.50	2.320	19.327	1.044
512.05	2.323	19.683	1.164
512.60	2.326	19.035	0.962
513.15	2.329	23.041	1.840
513.70	2.332	18.837	0.790
514.25	2.335	18.492	0.828
514.80	2.338	18.228	0.896
515.35	2.341	18.350	0.891
515.90	2.344	19.020	0.930
516.45	2.347	20.648	0.659
517.00	2.350	19.129	0.793
517.55	2.352	18.590	0.852
518.10	2.355	18.515	1.259
518.65	2.358	20.866	1.352
519.20	2.361	18.123	1.060
519.75	2.364	19.235	1.293
520.30	2.367	18.744	1.386
520.85	2.370	19.855	1.335
521.40	2.373	19.103	0.934
521.95	2.376	20.682	1.407
522.50	2.379	20.134	1.540
523.05	2.381	19.448	1.808
523.60	2.384	16.620	0.827
524.15	2.387	18.675	0.888
524.70	2.390	20.034	1.578
525.25	2.393	17.182	1.092
525.80	2.396	18.487	1.450
526.35	2.399	30.498	4.457
526.90	2.402	18.984	1.199
527.45	2.405	16.279	1.260
528.00	2.409	18.985	1.288
528.55	2.411	21.435	1.554
529.10	2.414	20.626	1.644
529.65	2.418	18.874	1.420
530.20	2.420	18.655	1.206
530.75	2.423	20.688	1.500
531.30	2.426	20.412	1.625
531.85	2.430	20.274	1.220
532.40	2.433	20.781	1.574
532.95	2.435	18.299	1.161
533.50	2.438	19.754	0.637
534.05	2.442	24.686	1.199
534.60	2.444	19.656	0.961
535.15	2.447	19.063	0.650
535.70	2.450	20.002	1.063
536.25	2.453	22.262	1.484
536.80	2.456	19.951	1.207
537.35	2.459	17.091	0.861
537.90	2.462	20.723	1.525
538.45	2.465	23.191	2.266
539.00	2.468	20.920	1.662
539.55	2.471	18.228	1.112
540.10	2.474	17.667	0.913
540.65	2.477	19.425	0.966
541.20	2.480	17.461	0.895
541.75	2.483	20.072	1.435
542.30	2.486	18.488	1.366
542.85	2.489	19.536	1.506
543.40	2.492	19.680	1.135
543.95	2.495	21.214	1.212
544.50	2.497	19.739	1.181
545.05	2.500	17.948	0.801
546.70	2.509	18.766	0.574
547.25	2.512	20.297	1.277
547.80	2.515	18.159	1.070
548.35	2.518	17.726	1.064
548.90	2.520	19.063	0.993
549.45	2.523	21.262	1.328
550.00	2.526	20.618	1.459
550.55	2.529	19.823	1.190
551.10	2.532	20.282	1.736
551.65	2.535	18.706	0.895
552.20	2.538	18.179	1.180
552.75	2.541	19.826	1.259
553.30	2.545	27.263	2.785
553.85	2.548	19.980	1.528
554.40	2.551	18.981	1.195
554.95	2.553	18.693	1.292
555.50	2.557	18.216	0.841
556.05	2.560	18.785	1.073
556.60	2.563	19.333	1.049
557.15	2.566	18.482	0.918
557.70	2.569	19.680	0.985
558.25	2.572	20.388	0.598
558.80	2.575	19.728	0.948
559.35	2.578	21.712	1.181
559.90	2.580	18.961	0.633
560.45	2.583	21.376	1.110
561.00	2.586	20.307	0.920
561.55	2.589	18.716	1.043
562.10	2.592	19.002	1.256
562.65	2.596	18.998	0.727
563.20	2.599	21.400	1.473
563.75	2.601	18.804	1.458
564.30	2.604	18.305	1.165
564.85	2.607	19.406	1.145
565.40	2.611	19.462	1.296
565.95	2.614	19.203	1.145
566.50	2.617	20.015	1.601
567.05	2.620	19.036	1.444
567.60	2.623	18.940	1.320
568.15	2.626	20.721	1.423
568.70	2.629	19.028	1.870
569.25	2.632	22.808	1.719
569.80	2.635	19.925	1.362
570.35	2.638	19.300	1.334
570.90	2.641	19.452	1.322
571.45	2.644	20.645	1.427
572.00	2.647	20.265	2.015
572.55	2.650	20.248	1.518
573.10	2.653	20.407	1.596
573.65	2.657	20.260	1.697
574.20	2.659	20.347	1.990
574.75	2.662	19.014	1.560
575.30	2.665	20.132	1.042
575.85	2.668	17.975	0.835
576.40	2.672	19.584	1.555
576.95	2.675	20.486	1.486
577.50	2.678	19.913	1.353
578.05	2.680	19.935	1.358
578.60	2.683	19.781	1.256
579.15	2.687	19.714	1.300
579.70	2.689	19.172	1.460
580.25	2.693	24.780	2.648
580.80	2.696	20.642	1.678
581.35	2.699	19.689	1.656
581.90	2.702	19.022	1.587
582.45	2.705	18.988	0.769
583.00	2.708	18.478	0.916
583.55	2.711	20.116	1.187
584.10	2.715	17.309	0.946
584.65	2.718	19.316	1.004
585.20	2.721	20.384	1.212
585.75	2.724	22.024	2.906
586.30	2.727	24.546	3.742
586.85	2.730	21.824	2.564
587.40	2.733	18.813	0.795
587.95	2.736	20.310	1.095
588.50	2.739	21.643	1.373
589.05	2.742	19.039	0.916
589.60	2.746	17.436	0.616
590.15	2.749	21.908	1.223
590.70	2.752	20.375	0.954
591.25	2.755	20.266	0.975
591.80	2.758	18.403	0.860
592.35	2.761	19.634	1.131
592.90	2.764	20.335	1.275
593.45	2.767	20.100	0.946
594.00	2.770	19.198	0.765
594.55	2.773	20.906	1.128
595.10	2.777	20.458	1.342
595.65	2.780	19.079	1.052
596.20	2.783	20.005	1.155
596.75	2.786	19.283	0.892
597.30	2.789	21.034	0.999
597.85	2.792	19.668	1.204
598.40	2.795	20.614	1.755
598.95	2.798	18.868	1.401
599.50	2.801	23.015	1.844
600.05	2.804	21.117	1.380
600.60	2.807	19.724	1.347
601.15	2.810	18.789	1.306
601.70	2.813	19.536	1.467
602.25	2.816	20.930	1.070
602.80	2.819	22.847	0.673
603.35	2.822	18.839	0.849
603.90	2.825	19.451	1.223
604.45	2.828	19.312	1.137
605.00	2.831	19.521	1.142
605.55	2.835	18.852	1.065
606.10	2.838	19.202	1.696
606.65	2.841	19.863	1.380
607.20	2.844	19.577	1.303
607.75	2.847	19.128	1.211
608.30	2.850	18.381	1.011
608.85	2.854	17.539	1.462
609.40	2.857	18.652	1.446
609.95	2.860	22.797	2.657
610.50	2.864	18.528	1.283
611.05	2.867	17.831	0.984
611.60	2.870	19.923	1.207
612.15	2.872	18.733	0.872
612.70	2.875	18.347	0.906
613.25	2.879	18.409	0.953
613.80	2.882	18.950	1.038
614.35	2.885	20.296	1.375
614.90	2.888	19.645	1.012
615.45	2.891	19.544	1.151
616.00	2.895	19.757	1.190
616.55	2.898	19.940	0.626
617.10	2.901	18.596	0.506
617.65	2.904	19.139	0.963
618.20	2.908	18.977	1.101
618.75	2.911	20.084	1.008
619.30	2.914	20.827	1.311
619.85	2.917	20.159	1.485
620.40	2.920	20.482	2.286
620.95	2.923	20.410	1.371
621.50	2.926	20.099	0.932
622.05	2.929	18.101	0.857
622.60	2.932	20.910	1.424
623.15	2.935	19.005	1.200
623.70	2.938	19.027	0.904
624.25	2.941	19.690	1.045
624.80	2.944	18.937	1.156
625.35	2.947	21.553	1.428
625.90	2.950	21.427	1.737
626.45	2.953	20.072	1.485
627.00	2.956	19.591	1.292
627.55	2.960	19.779	1.300
628.10	2.963	20.188	1.670
628.65	2.966	19.271	1.520
629.20	2.969	19.675	1.982
629.75	2.972	19.005	1.818
630.30	2.975	19.695	1.525
630.85	2.978	20.203	1.560
631.40	2.981	20.757	1.935
631.95	2.984	18.939	1.245
632.50	2.988	20.225	2.042
633.05	2.991	18.051	1.459
633.60	2.994	18.424	1.491
634.15	2.997	19.175	1.896
634.70	3.000	17.695	0.996
635.25	3.004	19.846	0.763
635.80	3.007	19.991	1.496
636.35	3.010	17.435	1.113
636.90	3.013	16.218	0.605
637.45	3.017	18.850	0.944
638.00	3.020	19.201	0.895
638.55	3.023	17.515	1.038
639.10	3.026	19.533	1.047
639.65	3.030	19.099	1.140
640.20	3.032	20.733	1.859
640.75	3.036	18.663	1.177
641.30	3.039	28.049	2.832
641.85	3.042	20.862	1.975
642.40	3.045	20.347	1.778
642.95	3.048	19.682	1.740
643.50	3.052	19.120	1.423
644.05	3.055	20.547	1.386
644.60	3.058	20.170	1.864
645.15	3.062	20.252	1.870
645.70	3.064	19.329	1.257
646.25	3.067	19.550	1.383
646.80	3.071	21.184	1.606
647.35	3.074	19.202	1.145
647.90	3.077	19.009	1.172
648.45	3.080	19.294	1.183
649.00	3.083	20.363	1.423
649.55	3.086	19.068	1.085
650.10	3.090	20.679	1.736
650.65	3.093	17.900	1.022
651.20	3.096	16.788	1.421
651.75	3.100	19.624	1.528
652.30	3.103	18.146	1.397
652.85	3.106	18.066	1.279
653.40	3.109	20.391	1.858
653.95	3.112	18.473	0.723
654.50	3.116	18.189	0.783
655.05	3.119	21.000	1.080
655.60	3.122	18.295	1.016
656.15	3.126	17.712	0.996
656.70	3.129	19.630	0.799
657.25	3.132	17.445	0.734
657.80	3.135	18.869	0.772
658.35	3.139	19.265	0.622
658.90	3.142	23.782	1.964
659.45	3.145	19.545	1.292
660.00	3.149	19.322	1.374
660.55	3.152	19.072	1.081
661.10	3.155	22.965	2.001
661.65	3.158	18.701	1.177
662.20	3.161	20.052	1.097
662.75	3.164	19.322	1.124
663.30	3.167	19.628	1.299
663.85	3.170	22.482	1.866
664.40	3.173	19.724	1.564
664.95	3.176	21.100	1.677
665.50	3.180	20.807	1.498
666.05	3.183	19.156	1.009
666.60	3.186	20.704	1.340
667.15	3.190	19.525	1.024
667.70	3.193	20.255	1.210
668.25	3.196	17.774	1.100
668.80	3.199	18.389	1.469
669.35	3.203	18.951	1.634
669.90	3.206	19.400	1.217
670.45	3.209	18.332	1.147
671.00	3.213	20.128	1.485
671.55	3.216	20.436	1.411
672.10	3.219	21.289	1.305
672.65	3.222	20.985	1.524
673.20	3.226	25.408	1.776
673.75	3.229	21.998	1.307
674.30	3.232	20.490	1.347
674.85	3.235	19.876	1.098
675.40	3.238	19.053	1.179
675.95	3.241	19.365	1.115
676.50	3.244	18.226	1.362
677.05	3.248	19.179	1.263
677.60	3.251	18.124	1.032
678.15	3.254	19.805	1.100
678.70	3.257	19.219	0.775
679.25	3.260	19.494	0.740
679.80	3.263	19.218	0.871
680.35	3.266	21.534	1.920
680.90	3.269	20.576	1.252
681.45	3.273	19.139	1.022
682.00	3.276	18.668	0.974
682.55	3.279	21.858	1.650
683.10	3.282	20.676	1.189
683.65	3.285	19.499	1.012
684.20	3.288	19.038	1.306
684.75	3.291	18.708	1.045
685.30	3.295	20.431	1.245
685.85	3.298	19.194	1.192
686.40	3.301	19.421	1.266
686.95	3.304	19.109	1.076
687.50	3.307	18.467	1.027
688.05	3.310	19.552	1.298
688.60	3.313	18.110	1.060
689.15	3.316	18.331	1.240
689.70	3.319	20.989	1.752
690.25	3.322	20.725	1.365
690.80	3.326	19.486	1.074
691.35	3.329	20.375	1.134
691.90	3.332	20.241	1.180
692.45	3.336	19.184	0.626
693.00	3.339	20.771	0.752
693.55	3.342	19.477	1.164
694.10	3.345	17.771	0.747
694.65	3.348	18.996	0.603
695.20	3.352	17.700	0.372
695.75	3.355	19.966	0.513
696.30	3.358	19.034	1.119
696.85	3.361	18.760	0.593
697.40	3.364	19.292	0.889
697.95	3.367	20.084	1.090
698.50	3.371	20.519	0.978
699.05	3.374	20.580	0.667
699.60	3.377	20.264	1.118
700.15	3.381	18.268	0.944
700.70	3.384	19.460	1.421
701.25	3.387	21.993	2.329
701.80	3.391	31.000	2.730
702.35	3.394	30.947	0.823
702.90	3.397	19.564	0.382
703.45	3.400	20.192	0.617
704.00	3.404	17.447	1.167
704.55	3.407	24.123	0.942
705.10	3.410	21.812	0.778
705.65	3.413	22.547	1.866
706.20	3.417	23.769	1.967
706.75	3.420	20.895	1.303
707.30	3.423	24.539	1.840
707.85	3.426	20.453	1.348
708.40	3.430	23.628	1.810
708.95	3.433	23.625	1.740
709.50	3.437	23.895	1.177
710.05	3.440	21.884	1.161
710.60	3.443	18.866	1.182
711.15	3.447	18.137	0.786
711.70	3.450	19.312	1.716
712.25	3.453	19.137	1.522
712.80	3.457	19.782	1.536
713.35	3.460	19.135	1.665
713.90	3.464	19.522	1.134
714.45	3.467	20.155	1.092
715.00	3.470	19.920	1.030
715.55	3.474	21.919	0.993
724.90	3.529	23.091	1.604
725.45	3.532	26.383	1.793
726.00	3.536	19.845	1.103
726.55	3.539	19.947	1.004
727.10	3.542	17.613	1.237
727.65	3.545	17.393	1.384
728.20	3.549	16.195	1.242
728.75	3.552	15.146	0.916
729.30	3.555	18.959	1.217
729.85	3.559	16.397	0.988
730.40	3.562	14.603	0.780
730.95	3.565	16.934	0.696
731.50	3.568	15.696	1.421
732.05	3.572	15.089	1.152
732.60	3.576	16.879	1.210
733.15	3.579	18.756	2.664
733.70	3.582	14.446	1.760
734.25	3.586	16.141	2.030
734.80	3.589	13.563	1.252
735.35	3.593	14.901	1.082
735.90	3.596	25.158	2.858
736.45	3.599	28.215	3.000
737.00	3.603	14.745	0.873
737.55	3.607	18.145	1.174
738.10	3.610	16.561	0.701
738.65	3.613	15.628	1.266
739.20	3.616	17.255	1.505
739.75	3.620	17.227	1.385
740.30	3.623	26.208	1.925
740.85	3.627	14.466	1.290
741.40	3.630	16.640	1.773
741.95	3.633	14.810	1.391
742.50	3.637	14.293	1.302
743.05	3.640	15.022	2.112
744.15	3.647	17.922	1.535
744.70	3.650	14.772	1.093
745.25	3.654	15.471	1.384
745.80	3.657	14.990	1.290
746.35	3.660	16.484	1.100
746.90	3.664	13.246	1.063
747.45	3.667	14.823	1.134
748.00	3.670	15.719	1.594
748.55	3.674	15.674	1.120
749.10	3.677	19.027	1.285
749.65	3.680	18.431	1.035
750.20	3.683	18.285	1.499
750.75	3.687	16.449	1.443
751.30	3.690	17.757	1.619
751.85	3.693	17.313	1.464
752.40	3.696	13.958	0.784
752.95	3.700	16.464	0.980
753.50	3.703	17.816	1.907
754.05	3.706	15.765	1.476
754.60	3.709	17.484	2.436
755.15	3.713	16.400	1.879
755.70	3.716	16.080	1.507
756.25	3.719	18.629	1.578
756.80	3.723	16.993	1.327
757.35	3.726	16.070	1.624
757.90	3.730	16.095	1.462
758.45	3.733	16.696	1.476
759.00	3.737	16.641	1.941
759.55	3.740	18.034	1.564
760.10	3.744	17.171	1.509
760.65	3.747	17.727	1.770
761.20	3.750	18.268	2.022
761.75	3.754	18.370	2.904
762.30	3.757	19.768	2.320
762.85	3.761	17.432	1.501
763.40	3.764	16.247	1.537
763.95	3.767	15.845	1.576
764.50	3.771	16.429	1.795
765.05	3.774	14.891	1.888
765.60	3.778	12.369	1.360
766.15	3.781	15.996	1.824
766.70	3.784	15.729	1.463
767.25	3.788	15.988	1.463
767.80	3.791	14.976	1.503
768.35	3.795	16.967	1.868
768.90	3.798	16.529	1.068
769.45	3.802	18.921	1.165
770.00	3.805	14.260	1.198
770.55	3.809	14.010	1.181
771.10	3.812	16.375	1.351
771.65	3.815	16.001	1.356
772.20	3.819	18.482	1.610
772.75	3.822	16.445	1.403
773.30	3.825	17.495	1.498
773.85	3.829	14.814	0.756
774.40	3.832	19.880	1.628
774.95	3.836	20.545	1.647
775.50	3.839	18.682	1.544
776.05	3.843	20.221	1.593
776.60	3.846	21.947	1.994
777.15	3.849	21.272	1.337
777.70	3.853	20.409	1.080
778.25	3.856	22.740	1.404
778.80	3.859	23.551	1.567
779.35	3.863	23.529	1.665
780.45	3.871	14.370	1.267
781.00	3.874	17.281	1.838
781.55	3.878	17.802	1.543
782.10	3.881	16.757	1.431
782.65	3.885	18.347	1.446
783.20	3.888	16.406	1.135
783.75	3.891	18.048	1.643
784.30	3.895	24.183	2.280
784.85	3.899	16.618	1.119
785.40	3.902	16.429	1.656
785.95	3.905	17.788	1.633
786.50	3.909	16.509	1.478
787.05	3.912	17.931	1.297
787.60	3.915	21.592	1.675
788.15	3.919	28.306	2.753
788.70	3.923	17.825	1.241
789.25	3.926	18.148	1.356
789.80	3.929	17.492	1.658
790.35	3.933	15.967	1.473
790.90	3.936	15.728	1.372
791.45	3.939	15.738	1.143
792.00	3.943	18.191	1.284
792.55	3.946	16.445	1.151
793.10	3.950	18.924	1.220
793.65	3.953	17.174	1.281
794.20	3.957	18.580	1.448
794.75	3.961	17.218	1.007
795.30	3.964	18.596	1.278
795.85	3.967	17.538	1.378
796.40	3.971	20.188	1.497
796.95	3.974	20.267	1.064
797.50	3.977	18.969	1.272
798.05	3.981	17.768	1.048
798.60	3.985	18.552	0.863
799.15	3.988	20.949	0.781
799.70	3.992	20.742	1.283
800.25	3.995	22.901	1.508
800.80	3.998	21.574	1.162
801.35	4.002	19.578	0.904
801.90	4.005	18.424	0.991
802.45	4.009	46.254	3.761
803.00	4.012	19.225	1.264
803.55	4.016	21.619	1.474
804.10	4.019	20.383	1.510
804.65	4.023	19.269	1.108
805.20	4.026	19.762	1.254
805.75	4.030	19.555	1.160
806.30	4.033	20.700	1.332
806.85	4.037	20.753	1.239
807.40	4.040	19.438	1.207
807.95	4.043	18.575	1.175
808.50	4.047	16.458	1.157
809.05	4.050	18.197	0.931
809.60	4.053	17.838	0.549
810.15	4.057	17.443	0.783
810.70	4.060	19.022	0.843
811.25	4.064	19.509	1.463
811.80	4.068	19.718	1.325
812.35	4.071	16.178	1.228
812.90	4.075	18.795	1.699
813.45	4.078	17.652	1.509
814.00	4.082	19.854	1.681
814.55	4.085	17.344	1.175
815.10	4.088	18.112	1.471
815.65	4.092	20.394	1.900
816.20	4.095	21.688	1.573
816.75	4.099	19.947	1.022
817.30	4.102	19.336	1.377
817.85	4.106	21.050	1.542
818.40	4.109	21.496	1.183
818.95	4.112	25.069	1.360
819.50	4.116	20.828	1.259
820.05	4.120	20.524	1.013
820.60	4.123	22.046	1.294
821.15	4.127	21.080	1.140
821.70	4.130	21.081	1.518
822.25	4.134	22.616	1.835
822.80	4.138	21.006	1.369
823.35	4.141	21.640	1.467
823.90	4.145	22.087	1.471
824.45	4.148	18.878	1.224
825.00	4.152	22.205	1.478
825.55	4.155	22.049	1.378
826.10	4.159	24.048	1.765
826.65	4.163	20.334	1.448
827.20	4.166	16.351	0.974
827.75	4.170	21.725	1.350
828.30	4.173	23.629	1.609
828.85	4.177	22.870	1.400
829.40	4.181	23.568	1.359
829.95	4.184	19.867	1.014
830.50	4.188	21.108	1.268
831.05	4.192	21.464	1.326
831.60	4.195	20.297	1.199
832.15	4.198	23.833	1.610
832.70	4.202	23.277	1.605
833.25	4.205	22.076	1.444
833.80	4.209	19.972	1.470
834.35	4.212	21.370	1.231
834.90	4.216	25.098	1.655
835.45	4.219	22.581	1.186
836.00	4.223	24.623	1.447
836.55	4.227	22.633	1.448
837.10	4.230	20.728	1.225
837.65	4.234	22.446	1.434
838.20	4.237	19.451	1.206
838.75	4.241	19.209	1.566
839.30	4.245	19.062	1.580
839.85	4.248	16.930	1.237
840.40	4.252	18.608	1.599
840.95	4.255	19.718	1.652
841.50	4.259	17.393	1.438
842.05	4.262	15.595	1.290
842.60	4.266	15.984	1.153
843.15	4.270	14.856	1.274
843.70	4.273	15.033	1.474
844.25	4.277	15.992	1.148
844.80	4.280	17.415	0.921
845.35	4.284	18.297	1.422
845.90	4.288	16.592	1.204
846.45	4.292	18.804	1.430
847.00	4.295	18.049	1.413
847.55	4.299	18.304	1.667
848.10	4.302	17.309	1.387
848.65	4.306	18.801	1.501
849.20	4.309	17.574	1.336
849.75	4.313	21.507	1.743
850.30	4.316	16.765	0.873
850.85	4.320	18.363	1.388
851.40	4.324	17.044	1.410
851.95	4.327	16.825	1.316
852.50	4.331	15.841	1.322
853.05	4.334	15.508	1.357
853.60	4.338	15.863	0.709
854.15	4.342	17.817	0.991
854.70	4.345	16.733	0.986
855.25	4.349	16.503	1.175
855.80	4.353	15.671	1.177
856.35	4.356	14.595	1.320
856.90	4.360	14.868	1.403
857.45	4.364	18.228	1.660
858.00	4.368	20.179	1.639
858.55	4.371	20.875	1.049
859.10	4.375	18.364	0.706
859.65	4.378	18.655	0.892
860.20	4.382	16.932	0.429
860.75	4.385	18.220	0.655
861.30	4.389	15.750	0.637
861.85	4.392	17.504	0.741
862.40	4.396	15.841	0.975
862.95	4.399	18.961	0.896
863.50	4.403	17.834	0.612
864.05	4.407	17.370	1.518
864.60	4.411	15.550	1.616
865.15	4.414	18.835	1.568
865.70	4.418	24.290	1.834
866.25	4.421	20.984	1.532
866.80	4.425	18.946	1.658
867.35	4.428	18.208	1.430
867.90	4.432	20.980	1.930
868.45	4.435	16.593	1.261
869.00	4.439	17.335	1.040
869.55	4.443	18.089	2.002
870.10	4.447	19.000	1.904
870.65	4.450	15.965	1.566
871.20	4.454	14.680	1.437
871.75	4.458	14.831	1.251
872.30	4.462	13.925	1.405
872.85	4.465	14.434	1.203
873.40	4.469	15.969	1.927
873.95	4.472	15.137	1.560
874.50	4.476	15.543	1.682
875.05	4.480	17.571	1.592
875.60	4.484	17.030	1.823
876.15	4.487	16.789	1.943
876.70	4.491	16.506	1.308
877.25	4.495	19.743	1.514
877.80	4.498	17.896	1.521
878.35	4.502	18.225	1.377
878.90	4.506	18.486	1.364
879.45	4.509	17.940	1.700
880.00	4.513	11.815	1.572
880.55	4.517	15.571	1.361
881.10	4.520	16.753	2.000
881.65	4.524	16.106	1.359
882.20	4.528	19.774	1.209
882.75	4.532	19.285	1.438
883.30	4.535	17.564	1.212
883.85	4.539	18.332	1.428
884.40	4.542	18.391	1.250
884.95	4.546	18.093	1.402
885.50	4.550	17.668	1.586
