/* DATA DESCRIPTION:
Citation:	Alley, Richard B (1999): GISP2 Stratigraphy [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.56103
Related to:	Alley, Richard B; Meese, D A; Shuman, Christopher A; Gow, A J; Taylor, Kendrick C; Grootes, Pieter Meiert; White, James W C; Ram, M; Waddington, Edwin D; Mayewski, Paul Andrew; Zielinski, G A (1993): Abrupt increase in Greenland snow accumulation at the end of the Younger Dryas event. Nature, 362(6420), 527-529, https://doi.org/10.1038/362527a0
	Alley, Richard B; Saltzman, Eric S; Cuffey, Kurt M; Fitzpatrick, Joan J (1990): Summertime formation of depth hoar in central Greenland. Geophysical Research Letters, 17, 2393-2396, https://doi.org/10.1029/GL017i013p02393
	Alley, Richard B; Shuman, Christopher A; Meese, D A; Gow, A J; Taylor, Kendrick C; Cuffey, Kurt M; Fitzpatrick, Joan J; Grootes, Pieter Meiert; Zielinski, G A; Ram, M; Spinelli, Glenn; Elder, Bruce C (1997): Visual-stratigraphic dating of the GISP2 ice core: Basis, reproducibility, and application. Journal of Geophysical Research: Oceans, 102(C12), 26367-26382, https://doi.org/10.1029/96JC03837
	GRIP/GISP (1997): The Greenland Summit Ice Cores CD-ROM GISP2/GRIP. National Snow and Ice Data Center, University of Colorado at Boulder, and World Data Center for Paleoclimatology, National Geophysical Data Center, Boulder Colorado, CD-ROM, https://store.pangaea.de/Projects/GRIP-GISP/grip-gisp.iso
	Kapsner, W R; Alley, Richard B; Shuman, Christopher A; Anandakrishnan, Sridhar; Grootes, Pieter Meiert (1995): Dominant influence of atmospheric circulation on snow accumulation in Greenland over the past 18,000 years. Nature, 373(6509), 52-54, https://doi.org/10.1038/373052a0
	Meese, D A; Gow, A J; Alley, Richard B; Zielinski, G A; Grootes, Pieter Meiert; Ram, M; Taylor, Kendrick C; Mayewski, Paul Andrew; Bolzan, J F (1997): The Greenland Ice Sheet Project 2 depth-age scale: Methods and results. Journal of Geophysical Research: Oceans, 102(C12), 26411-26424, https://doi.org/10.1029/97JC00269
	Spinelli, Glenn (1996): A statistical analysis of ice-accumulation level and variability in the GISP2 ice core and a reexamination of the age of the termination of the Younger Dryas cooling episode. Earth System Science Center Technical Report University of New, 96-001
Project(s):	Greenland Ice Core Projects (GRIP/GISP/NGRIP) (URI: https://en.wikipedia.org/wiki/Greenland_ice_core_project)
Coverage:	LATITUDE: 72.588000 * LONGITUDE: -38.457000
	MINIMUM ELEVATION: 3203.0 m * MAXIMUM ELEVATION: 3203.0 m
Event(s):	GISP2-D_Strat * LATITUDE: 72.588000 * LONGITUDE: -38.457000 * ELEVATION: 3203.0 m * LOCATION: Greenland * CAMPAIGN: GISP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Dummy (DUMMY)
Comment:	Depths of mid-summer as determined separately from ECM and visual stratigraphy in the GISP2-D ice core. Also given are calculated layer thicknesses (true and ice equivalent) and calculated accumulation rates. Factor A = (accum)/(layer thickness). Summ. refers to the calender year associated with the mid-summer pick.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated from conductivity
	Depth, reference [m] (Depth ref) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy
	Age [a AD/CE] (Age) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual stratigraphy * COMMENT: mid-summer pick
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: true layer thickness
	Layer thickness [m] (Thickness) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: ice equivalent layer thickness
	Density [g/cm**3] (Density) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Pycnometer (Micromeritics)
	Factor (Factor) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Calculated * COMMENT: Factor A = (accum)/(layer thickness)
	Correction (corr) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu)
	Interval comments (Interval comm) * PI: Alley, Richard B (https://orcid.org/0000-0003-1833-0115, ralley@essc.psu.edu) * METHOD/DEVICE: Visual description
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8237 data points
*/
Age [ka BP]	Depth ref [m] (Calculated from conductivity)	Depth ref [m] (Visual stratigraphy)	Age [a AD/CE] (mid-summer pick, Visual strat...)	Thickness [m] (true layer thickness, Calculated)	Thickness [m] (ice equivalent layer thicknes...)	Density [g/cm**3] (Pycnometer (Micromeritics))	Factor (Factor A = (accum)/(layer thi...)	corr	Interval comm (Visual description)
0.47400	149.73	149.74	1476	0.1800	0.1640	0.911	1.044	0.171	
0.47500	149.97	149.96	1475	0.2200	0.2000	0.911	1.044	0.209	
0.47600	150.10	150.13	1474	0.1700	0.1550	0.912	1.044	0.162	
0.47700	150.44	150.41	1473	0.2800	0.2550	0.912	1.044	0.267	
0.47800	150.67	150.66	1472	0.2500	0.2280	0.912	1.044	0.238	questionable
0.47900	150.91	150.89	1471	0.2300	0.2100	0.912	1.044	0.219	
0.48000	151.08	151.11	1470	0.2200	0.2010	0.912	1.044	0.209	
0.48100	151.40	151.40	1469	0.2900	0.2640	0.912	1.044	0.276	
0.48200	151.59	151.55	1468	0.1500	0.1370	0.912	1.044	0.143	
0.48300	151.78	151.83	1467	0.2800	0.2550	0.912	1.044	0.267	
0.48400	152.02	152.02	1466	0.1900	0.1730	0.912	1.044	0.181	
0.48500	152.29	152.24	1465	0.2200	0.2010	0.912	1.045	0.210	
0.48600	152.50	152.47	1464	0.2300	0.2100	0.912	1.045	0.219	
0.48700	152.73	152.72	1463	0.2500	0.2280	0.912	1.045	0.238	
0.48800	152.95	152.93	1462	0.2100	0.1920	0.912	1.045	0.200	questionable
0.48900	153.29	153.24	1461	0.3100	0.2830	0.912	1.045	0.295	
0.49000	153.52	153.50	1460	0.2600	0.2370	0.912	1.045	0.248	
0.49100	153.81	153.78	1459	0.2800	0.2550	0.912	1.045	0.267	questionable
0.49200	153.99	153.99	1458	0.2100	0.1920	0.912	1.045	0.200	
0.49300	154.28	154.23	1457	0.2400	0.2190	0.912	1.045	0.229	
0.49400	154.49	154.46	1456	0.2300	0.2100	0.912	1.045	0.219	
0.49500	154.78	154.77	1455	0.3100	0.2830	0.912	1.045	0.296	
0.49600	154.99	155.05	1454	0.2800	0.2550	0.912	1.045	0.267	
0.49700	155.18	155.24	1453	0.1900	0.1730	0.912	1.046	0.181	
0.49800	155.45	155.45	1452	0.2100	0.1920	0.912	1.046	0.200	
0.49900	155.68	155.72	1451	0.2700	0.2460	0.912	1.046	0.257	
0.50000	155.94	155.94	1450	0.2200	0.2010	0.912	1.046	0.210	
0.50100	156.16	156.13	1449	0.1900	0.1730	0.913	1.046	0.181	
0.50200	156.32	156.39	1448	0.2600	0.2370	0.913	1.046	0.248	
0.50300	156.62	156.69	1447	0.3000	0.2740	0.913	1.046	0.287	
0.50400	157.04	156.95	1446	0.2600	0.2370	0.913	1.046	0.248	questionable
0.50500	157.14	157.16	1445	0.2100	0.1920	0.913	1.046	0.201	
0.50600	157.30	157.32	1444	0.1600	0.1460	0.913	1.046	0.153	
0.50700	157.51	157.55	1443	0.2300	0.2100	0.913	1.046	0.220	
0.50800	157.77	157.81	1442	0.2600	0.2370	0.913	1.046	0.248	
0.50900	158.00	158.01	1441	0.2000	0.1830	0.913	1.047	0.191	
0.51000	158.12	158.13	1440	0.1200	0.1100	0.913	1.047	0.115	
0.51100	158.25	158.24	1439	0.1100	0.1000	0.913	1.047	0.105	
0.51200	158.47	158.42	1438	0.1800	0.1640	0.913	1.047	0.172	
0.51300	158.67	158.64	1437	0.2200	0.2010	0.913	1.047	0.210	
0.51400	158.78	158.81	1436	0.1700	0.1550	0.913	1.047	0.162	
0.51500	159.00	159.02	1435	0.2100	0.1920	0.913	1.047	0.201	
0.51600	159.30	159.23	1434	0.2100	0.1920	0.913	1.047	0.201	.23-.25 very fine-grained
0.51700	159.52	159.51	1433	0.2800	0.2560	0.913	1.047	0.268	
0.51800	159.72	159.70	1432	0.1900	0.1730	0.913	1.047	0.182	
0.51900	159.98	159.99	1431	0.2900	0.2650	0.913	1.047	0.277	
0.52000	160.16	160.22	1430	0.2300	0.2100	0.914	1.047	0.220	
0.52100	160.46	160.52	1429	0.3000	0.2740	0.914	1.047	0.287	
0.52200	160.74	160.72	1428	0.2000	0.1830	0.914	1.047	0.191	
0.52300	161.03	161.03	1427	0.3100	0.2830	0.914	1.048	0.297	
0.52400	161.30	161.27	1426	0.2400	0.2190	0.914	1.048	0.230	
0.52500	161.54	161.54	1425	0.2700	0.2470	0.914	1.048	0.259	
0.52600	161.72	161.71	1424	0.1700	0.1550	0.914	1.048	0.163	
0.52700	161.96	161.96	1423	0.2500	0.2290	0.914	1.048	0.239	questionable
0.52800		162.13	1422	0.1700	0.1550	0.914	1.048	0.163	No ECM
0.52900	162.24	162.31	1421	0.1800	0.1650	0.914	1.048	0.172	
0.53000	162.50	162.51	1420	0.2000	0.1830	0.914	1.048	0.192	questionable
0.53100	162.76	162.81	1419	0.3000	0.2740	0.914	1.048	0.287	questionable long summer
0.53200	163.04	163.01	1418	0.2000	0.1830	0.914	1.048	0.192	
0.53300	163.29	163.26	1417	0.2500	0.2290	0.914	1.048	0.240	
0.53400	163.55	163.54	1416	0.2800	0.2560	0.914	1.048	0.268	
0.53500	163.78	163.71	1415	0.1700	0.1550	0.914	1.048	0.163	
0.53600		163.88	1414	0.1700	0.1550	0.914	1.049	0.163	No ECM
0.53700	164.00	164.03	1413	0.1500	0.1370	0.914	1.049	0.144	
0.53800	164.20	164.24	1412	0.2100	0.1920	0.914	1.049	0.201	
0.53900	164.38	164.49	1411	0.2500	0.2290	0.914	1.049	0.240	
0.54000	164.70	164.70	1410	0.2100	0.1920	0.914	1.049	0.201	
0.54100	164.90	164.89	1409	0.1900	0.1740	0.914	1.049	0.182	
0.54200	165.12	165.09	1408	0.2000	0.1830	0.914	1.049	0.192	
0.54300	165.30	165.30	1407	0.2100	0.1920	0.914	1.049	0.201	questionable or .36 long summer
0.54400	165.44	165.45	1406	0.1500	0.1370	0.914	1.049	0.144	questionable
0.54500	165.70	165.69	1405	0.2400	0.2190	0.914	1.049	0.230	
0.54600	165.88	165.90	1404	0.2100	0.1920	0.914	1.049	0.201	
0.54700	166.13	166.10	1403	0.2000	0.1830	0.914	1.049	0.192	
0.54800	166.45	166.43	1402	0.3300	0.3020	0.914	1.049	0.317	
0.54900	166.68	166.82	1401	0.3900	0.3560	0.914	1.050	0.374	
0.55000	166.96	166.96	1400	0.1400	0.1280	0.914	1.050	0.134	
0.55100	167.24	167.26	1399	0.3000	0.2740	0.914	1.050	0.288	
0.55200	167.45	167.47	1398	0.2100	0.1920	0.914	1.050	0.202	
0.55300	167.66	167.69	1397	0.2200	0.2010	0.914	1.050	0.211	
0.55400	168.04	167.95	1396	0.2600	0.2380	0.914	1.050	0.250	
0.55500	168.22	168.18	1395	0.2300	0.2100	0.914	1.050	0.221	
0.55600	168.51	168.55	1394	0.3700	0.3380	0.914	1.050	0.355	
0.55700	168.78	168.82	1393	0.2700	0.2470	0.914	1.050	0.259	
0.55800	169.05	169.11	1392	0.2900	0.2650	0.914	1.050	0.278	
0.55900	169.28	169.28	1391	0.1700	0.1550	0.914	1.050	0.163	
0.56000	169.56	169.54	1390	0.2600	0.2380	0.914	1.051	0.250	
0.56100	169.68	169.71	1389	0.1700	0.1550	0.914	1.051	0.163	
0.56200	170.00	170.00	1388	0.2900	0.2650	0.915	1.051	0.279	
0.56300	170.24	170.14	1387	0.1400	0.1280	0.915	1.051	0.135	
0.56400	170.49	170.43	1386	0.2900	0.2650	0.915	1.051	0.279	
0.56500	170.68	170.68	1385	0.2500	0.2290	0.915	1.051	0.240	
0.56600	170.84	170.97	1384	0.2900	0.2650	0.915	1.051	0.279	long year
0.56700	171.10	171.08	1383	0.1100	0.1010	0.915	1.051	0.106	
0.56800	171.39	171.33	1382	0.2500	0.2290	0.915	1.051	0.240	
0.56900	171.63	171.65	1381	0.3200	0.2930	0.915	1.051	0.308	
0.57000	171.95	171.88	1380	0.2300	0.2100	0.915	1.051	0.221	
0.57100	172.19	172.13	1379	0.2500	0.2290	0.915	1.051	0.241	
0.57200	172.43		1378	0.3000	0.2750	0.915	1.052	0.289	No Strat
0.57300	172.74	172.65	1377	0.2200	0.2010	0.915	1.052	0.212	
0.57400	172.92	172.92	1376	0.2700	0.2470	0.915	1.052	0.260	
0.57500	173.12	173.15	1375	0.2300	0.2100	0.915	1.052	0.221	
0.57600	173.36	173.34	1374	0.1900	0.1740	0.915	1.052	0.183	
0.57700	173.56	173.59	1373	0.2500	0.2290	0.915	1.052	0.241	
0.57800	173.78	173.75	1372	0.1600	0.1460	0.915	1.052	0.154	
0.57900	174.06	174.01	1371	0.2600	0.2380	0.915	1.052	0.250	
0.58000	174.28	174.27	1370	0.2600	0.2380	0.915	1.052	0.250	
0.58100	174.47	174.49	1369	0.2200	0.2010	0.915	1.052	0.212	
0.58200	174.70	174.74	1368	0.2500	0.2290	0.915	1.052	0.241	
0.58300	175.12	175.09	1367	0.3500	0.3200	0.915	1.053	0.337	
0.58400	175.38	175.32	1366	0.2300	0.2100	0.915	1.053	0.222	
0.58500	175.55	175.57	1365	0.2500	0.2290	0.915	1.053	0.241	
0.58600	175.78	175.81	1364	0.2400	0.2200	0.915	1.053	0.231	
0.58700	175.94	176.01	1363	0.2000	0.1830	0.915	1.053	0.193	questionable
0.58800	176.19	176.22	1362	0.2100	0.1920	0.915	1.053	0.202	
0.58900	176.40	176.45	1361	0.2300	0.2100	0.915	1.053	0.222	.66-.67 melt:bubble-poor ice
0.59000	176.63	176.67	1360	0.2200	0.2010	0.915	1.053	0.212	
0.59100	176.87	176.87	1359	0.2000	0.1830	0.915	1.053	0.193	
0.59200	177.08	177.17	1358	0.3000	0.2740	0.915	1.053	0.289	
0.59300	177.38	177.38	1357	0.2100	0.1920	0.915	1.053	0.202	
0.59400	177.67	177.57	1356	0.1900	0.1740	0.915	1.053	0.183	
0.59500	177.84	177.85	1355	0.2800	0.2560	0.915	1.054	0.270	
0.59600	178.13	178.13	1354	0.2800	0.2560	0.915	1.054	0.270	
0.59700	178.32	178.34	1353	0.2100	0.1920	0.915	1.054	0.202	
0.59800	178.56	178.56	1352	0.2200	0.2010	0.915	1.054	0.212	
0.59900	178.78	178.75	1351	0.1900	0.1740	0.915	1.054	0.183	
0.60000	178.95	178.99	1350	0.2400	0.2200	0.915	1.054	0.231	
0.60100	179.09	179.16	1349	0.1700	0.1560	0.915	1.054	0.164	
0.60200	179.48	179.44	1348	0.2800	0.2560	0.915	1.054	0.270	
0.60300	179.92	179.99	1347	0.5500	0.5030	0.915	1.054	0.531	
0.60400	180.27	180.26	1346	0.2700	0.2470	0.916	1.054	0.261	
0.60500	180.39	180.48	1345	0.2200	0.2020	0.916	1.054	0.212	
0.60600	180.69	180.67	1344	0.1900	0.1740	0.916	1.055	0.184	
0.60700	180.95	180.92	1343	0.2500	0.2290	0.916	1.055	0.242	
0.60800	181.14	181.12	1342	0.2000	0.1830	0.916	1.055	0.193	
0.60900	181.43	181.35	1341	0.2300	0.2110	0.916	1.055	0.222	
0.61000	181.63	181.64	1340	0.2900	0.2660	0.916	1.055	0.280	
0.61100	181.93	181.89	1339	0.2500	0.2290	0.916	1.055	0.242	
0.61200	182.14	182.14	1338	0.2500	0.2290	0.916	1.055	0.242	long summer
0.61300	182.34	182.35	1337	0.2100	0.1920	0.916	1.055	0.203	
0.61400	182.64	182.64	1336	0.2900	0.2660	0.916	1.055	0.280	
0.61500	182.84	182.84	1335	0.2000	0.1830	0.916	1.055	0.193	
0.61600	183.10	182.99	1334	0.1500	0.1370	0.916	1.055	0.145	
0.61700	183.38	183.25	1333	0.2600	0.2380	0.916	1.055	0.251	
0.61800	183.64	183.47	1332	0.2200	0.2020	0.916	1.056	0.213	
0.61900	183.77	183.68	1331	0.2100	0.1920	0.916	1.056	0.203	
0.62000	183.92	183.90	1330	0.2200	0.2020	0.916	1.056	0.213	
0.62100	184.15	184.27	1329	0.3700	0.3390	0.916	1.056	0.358	
0.62200	184.53	184.45	1328	0.1800	0.1650	0.916	1.056	0.174	
0.62300	184.74	184.65	1327	0.2000	0.1830	0.916	1.056	0.193	
0.62400	185.04	184.85	1326	0.2000	0.1830	0.916	1.056	0.193	
0.62500	185.19	185.19	1325	0.3400	0.3110	0.916	1.056	0.329	
0.62600	185.40	185.43	1324	0.2400	0.2200	0.916	1.056	0.232	
0.62700	185.61	185.59	1323	0.1600	0.1470	0.916	1.056	0.155	
0.62800	185.90	185.77	1322	0.1800	0.1650	0.916	1.056	0.174	
0.62900	185.98	185.99	1321	0.2200	0.2020	0.916	1.056	0.213	
0.63000	186.20	186.26	1320	0.2700	0.2470	0.916	1.057	0.261	
0.63100	186.46	186.53	1319	0.2700	0.2470	0.916	1.057	0.261	
0.63200	186.70	186.72	1318	0.1900	0.1740	0.916	1.057	0.184	
0.63300	186.95	186.94	1317	0.2200	0.2020	0.916	1.057	0.213	
0.63400	187.14	187.13	1316	0.1900	0.1740	0.916	1.057	0.184	
0.63500	187.50	187.46	1315	0.3300	0.3020	0.916	1.057	0.320	
0.63600	187.66	187.66	1314	0.2000	0.1830	0.916	1.057	0.194	
0.63700	187.86	187.89	1313	0.2300	0.2110	0.916	1.057	0.223	
0.63800	188.10	188.12	1312	0.2300	0.2110	0.916	1.057	0.223	
0.63900	188.32	188.34	1311	0.2200	0.2020	0.916	1.057	0.213	
0.64000	188.56	188.54	1310	0.2000	0.1830	0.916	1.057	0.194	
0.64100	188.72	188.74	1309	0.2000	0.1830	0.916	1.057	0.194	
0.64200	189.06	189.02	1308	0.2800	0.2560	0.916	1.058	0.271	
0.64300	189.30	189.32	1307	0.3000	0.2750	0.916	1.058	0.291	
0.64400	189.54	189.55	1306	0.2300	0.2110	0.916	1.058	0.223	
0.64500	189.72	189.75	1305	0.2000	0.1830	0.916	1.058	0.194	
0.64600	189.94	189.99	1304	0.2400	0.2200	0.916	1.058	0.233	
0.64700	190.24	190.16	1303	0.1700	0.1560	0.916	1.058	0.165	
0.64800	190.34	190.31	1302	0.1500	0.1370	0.916	1.058	0.145	
0.64900	190.66	190.63	1301	0.3200	0.2930	0.916	1.058	0.310	
0.65000	190.90	190.87	1300	0.2400	0.2200	0.916	1.058	0.233	
0.65100	191.10	191.12	1299	0.2500	0.2290	0.916	1.058	0.242	
0.65200	191.31	191.30	1298	0.1800	0.1650	0.916	1.058	0.175	
0.65300	191.54	191.54	1297	0.2400	0.2200	0.916	1.058	0.233	
0.65400	191.78	191.75	1296	0.2100	0.1920	0.916	1.059	0.204	
0.65500	191.92	191.96	1295	0.2100	0.1920	0.916	1.059	0.204	
0.65600	192.15	192.18	1294	0.2200	0.2020	0.916	1.059	0.213	
0.65700	192.35	192.44	1293	0.2600	0.2380	0.916	1.059	0.252	
0.65800		192.63	1292	0.1900	0.1740	0.916	1.059	0.184	No ECM
0.65900	192.76	192.78	1291	0.1500	0.1370	0.916	1.059	0.145	
0.66000	192.90	192.99	1290	0.2100	0.1920	0.916	1.059	0.204	
0.66100	193.26	193.33	1289	0.3400	0.3110	0.916	1.059	0.330	
0.66200	193.57	193.61	1288	0.2800	0.2560	0.916	1.059	0.272	
0.66300	193.80	193.78	1287	0.1700	0.1560	0.916	1.059	0.165	
0.66400	194.03	194.02	1286	0.2400	0.2200	0.916	1.059	0.233	questionable
0.66500	194.25	194.23	1285	0.2100	0.1920	0.916	1.059	0.204	
0.66600	194.43	194.48	1284	0.2500	0.2290	0.916	1.060	0.243	
0.66700	194.72	194.69	1283	0.2100	0.1920	0.916	1.060	0.204	
0.66800	194.95	194.94	1282	0.2500	0.2290	0.916	1.060	0.243	
0.66900	195.19	195.12	1281	0.1800	0.1650	0.916	1.060	0.175	
0.67000	195.37	195.40	1280	0.2800	0.2560	0.916	1.060	0.272	
0.67100	195.59	195.64	1279	0.2400	0.2200	0.916	1.060	0.233	
0.67200	195.83	195.85	1278	0.2100	0.1920	0.916	1.060	0.204	
0.67300	196.11	196.09	1277	0.2400	0.2200	0.916	1.060	0.233	
0.67400	196.38	196.34	1276	0.2500	0.2290	0.916	1.060	0.243	
0.67500	196.58	196.62	1275	0.2800	0.2560	0.916	1.060	0.272	
0.67600	196.91	196.88	1274	0.2600	0.2380	0.916	1.060	0.253	
0.67700	197.08	197.08	1273	0.2000	0.1830	0.916	1.061	0.194	
0.67800	197.28	197.27	1272	0.1900	0.1740	0.916	1.061	0.185	
0.67900	197.54	197.52	1271	0.2500	0.2290	0.916	1.061	0.243	
0.68000	197.76	197.72	1270	0.2000	0.1830	0.916	1.061	0.194	
0.68100	197.98	197.93	1269	0.2100	0.1920	0.916	1.061	0.204	
0.68200	198.09	198.14	1268	0.2100	0.1920	0.916	1.061	0.204	
0.68300	198.36	198.35	1267	0.2100	0.1920	0.916	1.061	0.204	
0.68400	198.56	198.61	1266	0.2600	0.2380	0.916	1.061	0.253	
0.68500	198.88	198.84	1265	0.2300	0.2110	0.916	1.061	0.224	
0.68600	199.00	199.02	1264	0.1800	0.1650	0.916	1.061	0.175	questionable
0.68700	199.22	199.25	1263	0.2300	0.2110	0.916	1.061	0.224	
0.68800	199.44	199.50	1262	0.2500	0.2290	0.916	1.061	0.243	
0.68900	199.62	199.74	1261	0.2400	0.2200	0.916	1.062	0.233	
0.69000	199.90	199.97	1260	0.2300	0.2110	0.916	1.062	0.224	
0.69100	200.23	200.14	1259	0.1700	0.1560	0.916	1.062	0.165	
0.69200	200.47	200.40	1258	0.2600	0.2380	0.916	1.062	0.253	
0.69300	200.69	200.63	1257	0.2300	0.2110	0.916	1.062	0.224	
0.69400	200.87	200.93	1256	0.3000	0.2750	0.916	1.062	0.292	
0.69500	201.14	201.14	1255	0.2100	0.1920	0.916	1.062	0.204	
0.69600	201.38	201.36	1254	0.2200	0.2020	0.916	1.062	0.214	
0.69700	201.59	201.62	1253	0.2600	0.2380	0.916	1.062	0.253	
0.69800	201.88	201.86	1252	0.2400	0.2200	0.916	1.062	0.234	
0.69900	202.10	202.05	1251	0.1900	0.1740	0.916	1.062	0.185	
0.70000	202.32	202.33	1250	0.2800	0.2560	0.916	1.062	0.273	
0.70100	202.50	202.54	1249	0.2100	0.1920	0.916	1.063	0.204	
0.70200	202.80	202.73	1248	0.1900	0.1740	0.916	1.063	0.185	
0.70300	202.96	203.04	1247	0.3100	0.2840	0.916	1.063	0.302	
0.70400	203.28	203.30	1246	0.2600	0.2380	0.916	1.063	0.253	
0.70500	203.44	203.52	1245	0.2200	0.2020	0.916	1.063	0.214	
0.70600	203.70	203.77	1244	0.2500	0.2290	0.916	1.063	0.243	
0.70700	203.98	203.98	1243	0.2100	0.1920	0.916	1.063	0.204	
0.70800	204.19	204.19	1242	0.2100	0.1920	0.916	1.063	0.205	
0.70900	204.37	204.41	1241	0.2200	0.2020	0.916	1.063	0.214	
0.71000	204.61	204.64	1240	0.2300	0.2110	0.916	1.063	0.224	
0.71100	204.82	204.80	1239	0.1600	0.1470	0.916	1.063	0.156	
0.71200	205.07	205.07	1238	0.2700	0.2470	0.916	1.064	0.263	
0.71300	205.38	205.28	1237	0.2100	0.1920	0.916	1.064	0.205	
0.71400	205.56	205.54	1236	0.2600	0.2380	0.916	1.064	0.253	
0.71500	205.84	205.83	1235	0.2900	0.2660	0.916	1.064	0.283	
0.71600	206.01	206.00	1234	0.1700	0.1560	0.916	1.064	0.166	
0.71700	206.20	206.19	1233	0.1900	0.1740	0.916	1.064	0.185	
0.71800	206.38	206.46	1232	0.2700	0.2470	0.916	1.064	0.263	
0.71900	206.68	206.65	1231	0.1900	0.1740	0.916	1.064	0.185	
0.72000	206.84	206.81	1230	0.1600	0.1470	0.916	1.064	0.156	
0.72100	206.98	207.07	1229	0.2600	0.2380	0.916	1.064	0.253	
0.72200	207.26	207.27	1228	0.2000	0.1830	0.916	1.064	0.195	questionable
0.72300	207.45	207.50	1227	0.2300	0.2110	0.916	1.064	0.224	
0.72400	207.85	207.85	1226	0.3500	0.3210	0.916	1.065	0.341	
0.72500	208.17	208.16	1225	0.3100	0.2840	0.916	1.065	0.302	
0.72600	208.42	208.41	1224	0.2500	0.2290	0.916	1.065	0.244	
0.72700	208.62	208.64	1223	0.2300	0.2110	0.916	1.065	0.224	
0.72800	208.88	208.84	1222	0.2000	0.1830	0.916	1.065	0.195	
0.72900	209.12	209.14	1221	0.3000	0.2750	0.916	1.065	0.293	
0.73000	209.30	209.36	1220	0.2200	0.2020	0.916	1.065	0.215	
0.73100	209.56	209.60	1219	0.2400	0.2200	0.916	1.065	0.234	
0.73200	209.84	209.84	1218	0.2400	0.2200	0.916	1.065	0.234	
0.73300	210.06	210.06	1217	0.2200	0.2020	0.917	1.065	0.215	
0.73400	210.48	210.38	1216	0.3200	0.2930	0.917	1.066	0.313	
0.73500	210.76	210.60	1215	0.2200	0.2020	0.917	1.066	0.215	
0.73600	210.93	210.89	1214	0.2900	0.2660	0.917	1.066	0.283	
0.73700	211.09	211.11	1213	0.2200	0.2020	0.917	1.066	0.215	
0.73800	211.24	211.32	1212	0.2100	0.1930	0.917	1.066	0.205	
0.73900	211.52	211.55	1211	0.2300	0.2110	0.917	1.066	0.225	
0.74000	211.85	211.76	1210	0.2100	0.1930	0.917	1.066	0.205	
0.74100	212.02	212.03	1209	0.2700	0.2480	0.917	1.066	0.264	
0.74200	212.25	212.31	1208	0.2800	0.2570	0.917	1.066	0.274	
0.74300	212.46	212.52	1207	0.2100	0.1930	0.917	1.066	0.205	
0.74400	212.64	212.68	1206	0.1600	0.1470	0.917	1.066	0.156	
0.74500	212.88	212.89	1205	0.2100	0.1930	0.917	1.066	0.205	
0.74600	213.00	213.09	1204	0.2000	0.1830	0.917	1.067	0.196	
0.74700	213.28	213.33	1203	0.2400	0.2200	0.917	1.067	0.235	
0.74800	213.50	213.53	1202	0.2000	0.1830	0.917	1.067	0.196	
0.74900	213.74	213.73	1201	0.2000	0.1830	0.917	1.067	0.196	
0.75000	213.87	213.91	1200	0.1800	0.1650	0.917	1.067	0.176	questionable
0.75100	214.13	214.17	1199	0.2600	0.2380	0.917	1.067	0.254	.2-.22 melt zone
0.75200	214.35	214.41	1198	0.2400	0.2200	0.917	1.067	0.235	
0.75300	214.59	214.59	1197	0.1800	0.1650	0.917	1.067	0.176	
0.75400	214.78	214.81	1196	0.2200	0.2020	0.917	1.067	0.215	
0.75500	215.00	215.04	1195	0.2300	0.2110	0.917	1.067	0.225	Extrapolated Depth
0.75600	215.21	215.28	1194	0.2400	0.2200	0.917	1.067	0.235	Extrapolated Depth
0.75700	215.45	215.51	1193	0.2300	0.2110	0.917	1.067	0.225	215.0-.51 difficult stratigraphy
0.75800	215.67	215.71	1192	0.2000	0.1830	0.917	1.068	0.196	
0.75900	215.90	215.94	1191	0.2300	0.2110	0.917	1.068	0.225	
0.76000	216.13	216.14	1190	0.2000	0.1830	0.917	1.068	0.196	
0.76100	216.32	216.36	1189	0.2200	0.2020	0.917	1.068	0.215	
0.76200	216.51	216.54	1188	0.1800	0.1650	0.917	1.068	0.176	
0.76300	216.78	216.80	1187	0.2600	0.2380	0.917	1.068	0.255	
